canonical,^8.2|8.1|8.0|7.0|6.4|6.3|6.2|6.1,,^5.3|5.2|5.1|5.0|3.0,,^2,,^1,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,,
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,11,FEC COMMITTEE ID NUMBER,11,FEC COMMITTEE ID NUMBER
committee_name,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME
street_1,4,STREET 1,4,STREET 1,4,STREET 1,4,STREET 1
street_2,5,STREET 2,5,STREET 2,5,STREET 2,5,STREET 2
city,6,CITY,6,CITY,6,CITY,6,CITY
state,7,STATE,7,STATE,7,STATE,7,STATE
zip_code,8,ZIP,8,ZIP,8,ZIP,8,ZIP
committee_type,9,COMMITTEE TYPE,9,COMMITTEE TYPE,9,COMMITTEE TYPE,9,COMMITTEE TYPE
affiliated_date_f1_filed,10,DATE (Of Affiliation),10,AFFILIATED - DATE FORM F1 FILED,,,,
affiliated_committee_id_number,11,FEC COMMITTEE ID NUMBER,11,AFFILIATED COMMITTEE FEC ID,,,,
affiliated_committee_name,12,COMMITTEE NAME,12,AFFILIATED COMMITTEE NAME,12,COMMITTEE NAME,12,COMMITTEE NAME
first_candidate_id_number,13,I CANDIDATE ID NUMBER,13,FEC CANDIDATE ID NUMBER,13,FEC CANDIDATE ID NUMBER,13,FEC CANDIDATE ID NUMBER
first_candidate_name,,,14,CANDIDATE NAME,14,CANDIDATE NAME,14,CANDIDATE NAME
first_candidate_last_name,14,I CANDIDATE LAST NAME,,,,,,
first_candidate_first_name,15,I CANDIDATE FIRST NAME,,,,,,
first_candidate_middle_name,16,I CANDIDATE MIDDLE NAME,,,,,,
first_candidate_prefix,17,I CANDIDATE PREFIX,,,,,,
first_candidate_suffix,18,I CANDIDATE SUFFIX,,,,,,
first_candidate_office,19,I CANDIDATE OFFICE,15,CAN/OFFICE,15,CAN/OFF,15,CAN/OFF
first_candidate_state,20,I CANDIDATE STATE ,16,CAN/STATE ,16,STATE (Of Election),16,STATE (OF ELECTION)
first_candidate_district,21,I CANDIDATE DIST,17,CAN/DIST,17,CAN/DIST,17,CAN/DIST
first_candidate_contribution_date,22,I DATE OF CONTRIBUTION,18, DATE (Of Contribution),18,DATE (Of Contribution),18,DATE (OF CONTRIBUTION)
second_candidate_id_number,23,II CANDIDATE ID NUMBER,19,FEC CANDIDATE ID NUMBER,19,FEC CANDIDATE ID NUMBER,19,FEC CANDIDATE ID NUMBER
second_candidate_name,,,20,CANDIDATE NAME,20,CANDIDATE NAME,20,CANDIDATE NAME
second_candidate_last_name,24,II CANDIDATE LAST NAME,,,,,,
second_candidate_second_name,25,II CANDIDATE FIRST NAME,,,,,,
